t,delta_trans,delta_theta,mx,my,mz
0.0,0.0,0.0,-18.75,-0.375,-56.625
0.51,0.0,0.0,-18.75,-0.5,-56.625
0.92,0.0,0.0,-18.75,-0.5,-56.625
1.33,0.0,0.0,-18.75,-0.5,-56.625
1.73,0.0,0.0,-18.75,-0.5,-56.625
2.14,0.0,0.0,-18.75,-0.5,-56.625
2.55,0.0,0.0,-18.75,-0.5,-56.625
2.97,0.0,0.0,-18.75,-0.5,-56.625
3.47,0.0,0.0,-18.75,-0.5,-56.625
3.89,0.008,0.0,-18.875,-0.625,-56.5
4.39,0.019,0.0,-19.0,-0.625,-56.5
4.8,0.031,0.0,-19.125,-0.375,-56.625
5.3,0.02,0.0,-19.25,-0.25,-56.75
5.8,0.03,0.0,-19.375,-0.25,-56.625
6.3,0.021,0.0,-19.375,-0.0,-56.75
6.7,0.02,0.0,-19.625,0.125,-56.875
7.216,0.019,0.0,-19.375,0.125,-56.875
7.634,0.03,0.0,-19.375,0.25,-57.0
8.06,0.021,0.0,-19.5,0.25,-57.0
8.46,0.021,0.0,-19.5,0.25,-57.125
8.86,0.02,0.0,-19.5,0.5,-57.125
9.27,0.02,0.0,-19.875,0.5,-57.0
9.77,0.02,0.0,-19.875,0.5,-57.125
10.17,0.02,0.0,-20.0,0.625,-57.25
10.58,0.02,0.0,-20.125,0.625,-57.25
10.98,0.021,0.0,-20.0,0.75,-57.375
11.39,0.02,0.0,-20.125,0.625,-57.5
11.8,0.02,0.0,-20.0,0.5,-57.625
12.21,0.021,0.0,-20.125,0.5,-57.625
12.61,0.019,0.0,-20.375,0.375,-57.75
13.02,0.021,0.0,-20.625,0.375,-57.875
13.42,0.02,0.0,-20.75,0.375,-57.875
13.83,0.021,0.0,-21.0,0.25,-58.0
14.23,0.02,0.0,-21.25,0.25,-58.125
14.74,0.021,0.0,-21.25,0.25,-58.125
15.06,0.02,0.0,-21.5,0.125,-58.125
15.47,0.021,0.0,-21.875,-0.0,-58.125
15.88,0.02,0.0,-22.125,-0.125,-58.125
16.29,0.021,0.0,-22.5,-0.25,-58.0
16.71,0.021,0.0,-23.0,-0.5,-57.875
17.13,0.019,0.0,-23.25,-0.625,-57.625
17.63,0.03,0.0,-23.625,-0.75,-57.5
18.046,0.021,0.0,-24.0,-0.875,-57.125
18.46,0.02,0.0,-24.25,-0.875,-56.75
18.96,0.02,0.0,-24.5,-1.0,-56.375
19.36,0.019,0.0,-24.625,-1.25,-56.0
19.78,0.02,0.0,-24.875,-1.375,-55.625
20.2,0.022,0.0,-25.0,-1.625,-55.125
20.61,0.025,-0.052359878,-25.375,-2.75,-54.75
21.11,0.003,-0.17453293,-25.0,-7.75,-54.75
21.51,0.0,-0.20943951,-23.5,-12.125,-54.75
22.01,0.001,-0.31415927,-20.25,-17.5,-55.0
22.41,0.0,-0.20943951,-17.125,-21.125,-55.125
22.81,0.0,-0.20943951,-13.0,-23.875,-55.25
23.22,0.0,-0.20943951,-8.5,-25.625,-55.375
23.72,0.0,-0.10471976,-5.125,-26.375,-55.5
24.13,0.002,-0.034906585,-4.125,-26.5,-55.5
24.73,0.002,-0.052359878,-3.125,-26.625,-55.5
25.14,0.006,0.0,-3.0,-26.5,-55.5
25.54,0.019,0.0,-3.125,-26.25,-55.5
25.955,0.02,0.0,-3.375,-26.0,-55.375
26.38,0.02,0.0,-3.625,-25.875,-55.125
26.816,0.021,0.0,-4.0,-25.625,-55.125
27.33,0.031,0.0,-4.375,-25.25,-54.875
27.73,0.021,0.0,-4.75,-25.125,-54.625
28.13,0.02,0.0,-4.875,-24.75,-54.375
28.64,0.021,0.0,-5.25,-24.625,-54.0
29.14,0.019,0.0,-5.625,-24.375,-53.875
29.544,0.021,0.0,-5.625,-24.125,-53.5
29.97,0.021,0.0,-5.75,-23.875,-53.25
30.384,0.031,0.0,-5.75,-23.5,-52.875
30.79,0.021,0.0,-6.125,-23.125,-52.75
31.194,0.02,0.0,-6.25,-22.875,-52.625
31.713,0.02,0.0,-6.25,-22.625,-52.125
32.13,0.02,0.0,-6.375,-22.25,-52.0
32.54,0.021,0.0,-6.5,-22.0,-51.625
32.96,0.021,0.0,-6.5,-21.75,-51.625
33.37,0.019,0.0,-6.625,-21.5,-51.25
33.9,0.031,0.0,-6.75,-21.375,-51.0
34.336,0.02,0.0,-6.875,-21.0,-50.875
34.73,0.021,0.0,-7.0,-20.75,-50.625
35.15,0.02,0.0,-7.25,-20.5,-50.375
35.65,0.02,0.0,-7.375,-20.25,-50.25
36.06,0.03,0.0,-7.625,-20.0,-50.0
36.56,0.02,0.0,-8.125,-19.75,-49.875
37.06,0.02,0.0,-8.375,-19.75,-49.75
37.46,0.031,0.0,-8.625,-19.375,-49.25
37.97,0.02,0.0,-9.0,-19.375,-49.25
38.37,0.019,0.0,-9.5,-19.0,-48.875
