t,delta_trans,delta_theta,mx,my,mz
0.0,0.0,0.0,-3.84375,-12.78125,-43.28125
0.684,0.0,0.0,-3.84375,-12.75,-43.3125
1.24,0.0,0.0,-3.84375,-12.75,-43.3125
1.76,0.01,0.0,-3.9375,-12.75,-43.21875
2.391,0.02,0.0,-3.875,-12.9375,-43.0
2.929,0.033,0.0,-3.84375,-13.09375,-42.71875
3.35,0.02,0.0,-3.8125,-13.125,-42.53125
3.979,0.032,0.0,-3.75,-13.15625,-42.125
4.508,0.032,0.0,-3.78125,-13.25,-41.96875
5.025,0.033,0.0,-3.8125,-13.375,-41.625
5.645,0.056,0.0,-3.625,-13.40625,-41.1875
6.175,0.058,0.0,-3.34375,-13.375,-40.875
6.695,0.039,0.0,-2.90625,-13.21875,-40.65625
7.227,0.057,0.0,-2.6875,-13.125,-40.59375
7.745,0.04,0.0,-2.375,-12.875,-40.65625
8.165,0.037,0.0,-1.84375,-12.59375,-40.875
8.895,0.058,0.0,-1.5625,-12.28125,-41.1875
9.418,0.058,0.0,-1.53125,-11.90625,-41.4375
10.105,0.057,0.0,-1.53125,-11.46875,-41.90625
10.47,0.037,0.0,-1.84375,-11.15625,-42.21875
11.095,0.059,0.0,-2.0,-10.9375,-42.59375
11.615,0.057,0.0,-2.09375,-10.5,-43.03125
12.245,0.056,0.0,-2.53125,-10.125,-43.1875
12.76,0.04,0.0,-2.90625,-9.84375,-43.4375
13.285,0.056,0.0,-3.21875,-9.625,-43.65625
13.82,0.039,0.0,-3.78125,-9.59375,-43.78125
14.445,0.059,0.0,-4.09375,-9.53125,-43.84375
14.965,0.056,0.0,-4.4375,-9.625,-43.9375
15.5,0.039,0.0,-4.75,-9.75,-43.84375
16.115,0.056,0.0,-5.34375,-9.875,-43.84375
16.635,0.058,0.0,-5.84375,-10.0625,-43.75
17.17,0.039,0.0,-6.0,-10.25,-43.5625
17.854,0.044,-0.034906585,-6.125,-10.75,-43.5
18.315,0.005,-0.27925268,-4.21875,-11.1875,-43.625
18.849,0.0,-0.2268928,-1.78125,-11.25,-43.59375
19.465,0.001,-0.33161256,0.96875,-10.5,-43.71875
19.985,0.0,-0.33161256,2.9375,-9.21875,-43.8125
20.509,0.0,-0.2268928,4.5625,-7.59375,-43.84375
21.343,0.013,-0.17453293,5.0625,-6.3125,-43.65625
21.871,0.054,0.0,5.4375,-5.96875,-43.53125
22.45,0.039,0.0,5.90625,-5.71875,-43.375
23.025,0.058,0.0,6.03125,-5.46875,-43.1875
23.445,0.037,0.0,6.25,-5.40625,-43.09375
24.077,0.059,0.0,6.40625,-5.15625,-43.0625
24.589,0.037,0.0,6.65625,-5.0,-43.0
25.11,0.057,0.0,7.125,-4.8125,-43.0
25.626,0.056,0.0,7.375,-4.78125,-42.84375
26.15,0.039,0.0,7.4375,-4.5625,-42.875
26.671,0.057,0.0,7.59375,-4.5625,-42.875
27.201,0.04,0.0,7.65625,-4.40625,-42.875
27.729,0.058,0.0,7.9375,-4.34375,-42.9375
28.359,0.038,0.0,8.28125,-4.28125,-42.96875
28.975,0.057,0.0,8.625,-4.15625,-42.96875
29.495,0.056,0.0,9.0625,-4.0625,-43.125
30.191,0.058,0.0,9.125,-4.03125,-43.125
30.754,0.059,0.0,9.53125,-3.90625,-43.21875
31.378,0.056,0.0,9.65625,-3.78125,-43.375
31.895,0.057,0.0,9.875,-3.6875,-43.65625
32.515,0.056,0.0,10.0,-3.65625,-43.8125
33.135,0.057,0.0,9.78125,-3.625,-44.0
33.66,0.038,0.0,9.71875,-3.5,-44.21875
34.285,0.059,0.0,9.6875,-3.46875,-44.4375
34.908,0.056,0.0,9.65625,-3.46875,-44.625
35.425,0.057,0.0,9.53125,-3.53125,-44.75
35.95,0.04,0.0,9.3125,-3.625,-44.875
36.475,0.036,-0.052359878,9.0,-3.25,-44.9375
37.009,0.003,-0.19198622,8.71875,-0.15625,-44.9375
37.633,0.0,-0.34906585,7.46875,3.59375,-44.90625
38.155,0.0,-0.31415927,5.5,6.03125,-44.90625
38.785,0.001,-0.31415927,2.5,8.15625,-44.75
39.299,0.001,-0.20943951,-0.71875,9.0,-44.5625
40.141,0.013,-0.17453293,-2.65625,9.03125,-44.4375
40.565,0.033,0.0,-2.9375,9.1875,-44.34375
41.195,0.06,0.0,-2.96875,9.375,-44.25
41.715,0.056,0.0,-2.9375,9.625,-44.21875
42.245,0.04,0.0,-2.90625,9.71875,-44.1875
42.665,0.037,0.0,-3.09375,9.8125,-44.125
43.191,0.058,0.0,-3.09375,9.9375,-44.15625
43.815,0.038,0.0,-3.03125,9.96875,-44.25
44.34,0.056,0.0,-2.84375,10.125,-44.3125
44.965,0.06,0.0,-2.90625,10.15625,-44.53125
45.485,0.056,0.0,-2.71875,10.15625,-44.5625
46.02,0.038,0.0,-2.71875,10.15625,-44.71875
46.645,0.06,0.0,-2.59375,10.125,-44.8125
47.26,0.056,0.0,-2.71875,10.15625,-44.9375
47.785,0.056,0.0,-2.84375,10.125,-45.1875
48.32,0.039,0.0,-2.78125,10.09375,-45.375
48.944,0.059,0.0,-2.9375,10.0625,-45.4375
49.465,0.057,0.0,-2.96875,10.0625,-45.65625
50.0,0.038,0.0,-3.21875,10.0,-45.90625
50.615,0.056,0.0,-3.21875,10.03125,-46.0625
51.135,0.013,-0.13962634,-4.59375,9.875,-46.25
51.669,0.001,-0.20943951,-7.6875,8.6875,-45.9375
52.295,0.0,-0.34906585,-11.46875,6.21875,-45.90625
52.815,0.001,-0.33161256,-13.5625,3.46875,-45.78125
53.409,0.0,-0.2268928,-15.0,-0.09375,-45.8125
53.973,0.0,-0.31415927,-15.34375,-3.8125,-45.8125
54.959,0.047,0.052359878,-15.1875,-3.71875,-45.53125
55.43,0.039,0.087266463,-14.9375,-2.375,-45.46875
56.065,0.059,0.0,-14.90625,-2.21875,-45.3125
56.695,0.058,0.0,-14.5625,-2.25,-45.25
57.215,0.057,0.0,-14.3125,-2.40625,-45.1875
57.75,0.038,0.0,-14.0625,-2.53125,-45.21875
58.368,0.058,0.0,-13.78125,-2.5,-45.3125
58.785,0.037,0.0,-13.25,-2.53125,-45.5
59.419,0.059,0.0,-13.0,-2.625,-45.71875
60.046,0.058,0.0,-12.875,-2.78125,-45.96875
60.576,0.056,0.0,-12.65625,-2.78125,-46.15625
61.16,0.039,0.0,-12.9375,-2.90625,-46.28125
61.722,0.059,0.0,-13.375,-3.03125,-46.3125
62.348,0.056,0.0,-13.78125,-3.03125,-46.1875
62.759,0.038,0.0,-14.125,-3.0,-45.875
63.399,0.058,0.0,-14.46875,-3.09375,-45.5625
63.915,0.056,0.0,-14.75,-3.15625,-45.09375
64.45,0.039,0.0,-14.90625,-3.1875,-44.34375
65.075,0.059,0.0,-14.84375,-3.25,-43.53125
65.595,0.057,0.0,-14.75,-3.25,-42.84375
66.124,0.039,0.0,-14.15625,-3.4375,-42.03125
66.771,0.06,0.0,-13.71875,-3.5,-41.125
67.393,0.056,0.0,-12.71875,-3.5625,-40.5
