t,delta_trans,delta_theta,mx,my,mz
0.0,0.0,0.0,-3.875,-15.875,-47.375
0.57,0.0,0.0,-3.875,-15.875,-47.5
1.07,0.0,0.0,-3.875,-15.875,-47.375
1.67,0.003,0.0,-3.875,-15.875,-47.375
2.27,0.033,0.0,-4.0,-15.75,-47.25
2.77,0.036,0.0,-4.0,-15.875,-47.125
3.27,0.055,0.0,-4.0,-16.0,-47.0
3.87,0.056,0.0,-3.875,-16.0,-46.875
4.37,0.035,0.0,-3.875,-16.125,-46.625
4.87,0.055,0.0,-3.875,-16.25,-46.625
5.48,0.055,0.0,-3.625,-16.375,-46.625
6.006,0.02,0.0,-3.625,-16.5,-46.375
6.49,0.03,0.0,-3.5,-16.5,-46.5
6.99,0.02,0.0,-3.5,-16.375,-46.25
7.506,0.03,0.0,-3.25,-16.375,-46.375
8.09,0.03,0.0,-3.0,-16.375,-46.25
8.59,0.02,0.0,-2.875,-16.375,-46.375
9.11,0.03,0.0,-2.75,-16.375,-46.125
9.61,0.021,0.0,-2.75,-16.375,-46.125
10.12,0.03,0.0,-2.625,-16.375,-46.125
10.63,0.021,0.0,-2.5,-16.625,-46.125
11.14,0.03,0.0,-2.5,-16.5,-46.0
11.64,0.021,0.0,-2.625,-16.75,-45.875
12.24,0.03,0.0,-2.5,-16.5,-46.0
12.74,0.029,0.0,-2.625,-16.5,-46.0
13.24,0.02,0.0,-2.75,-16.5,-45.875
13.84,0.03,0.0,-2.75,-16.625,-45.875
14.34,0.03,0.0,-2.875,-16.625,-46.0
15.07,0.031,0.0,-2.625,-16.75,-46.0
15.54,0.03,0.0,-2.625,-16.875,-46.125
16.15,0.03,0.0,-2.625,-16.75,-46.0
16.67,0.02,0.0,-2.5,-16.75,-46.125
17.19,0.029,0.0,-2.5,-16.75,-46.125
17.72,0.022,0.0,-2.375,-16.75,-46.0
18.23,0.029,0.0,-2.375,-16.875,-46.125
18.75,0.031,0.0,-2.25,-16.875,-46.0
19.28,0.021,0.0,-2.25,-17.0,-46.125
19.88,0.031,0.0,-2.125,-17.0,-46.0
20.38,0.03,0.0,-2.25,-17.125,-46.125
20.88,0.02,0.0,-2.0,-17.125,-46.125
21.39,0.03,0.0,-2.0,-17.125,-46.125
21.89,0.02,0.0,-1.875,-17.125,-46.125
22.5,0.031,0.0,-1.875,-17.25,-46.125
23.1,0.029,0.0,-1.875,-17.25,-46.25
23.6,0.03,0.0,-2.0,-17.25,-46.25
24.12,0.02,0.0,-1.75,-17.25,-46.25
24.61,0.031,0.0,-1.625,-17.25,-46.625
25.12,0.02,0.0,-1.625,-17.125,-46.375
25.636,0.03,0.0,-1.375,-17.375,-46.5
26.13,0.02,0.0,-1.5,-17.25,-46.5
26.63,0.031,0.0,-1.375,-17.375,-46.375
27.34,0.03,0.0,-1.375,-17.375,-46.5
27.84,0.02,0.0,-1.25,-17.25,-46.625
28.34,0.03,0.0,-1.25,-17.375,-46.5
28.85,0.018,-0.017453293,-0.25,-17.25,-46.5
29.46,0.006,-0.26179939,3.625,-16.0,-46.75
29.96,0.001,-0.31415927,7.0,-14.125,-46.625
30.47,0.0,-0.19198622,9.375,-11.0,-46.75
30.97,0.001,-0.29670597,11.25,-7.625,-46.75
31.494,0.001,-0.31415927,11.875,-3.5,-46.5
32.111,0.001,-0.10471976,12.0,-1.75,-46.75
32.84,0.003,-0.034906585,12.0,-1.0,-46.75
33.44,0.016,0.0,12.0,-0.75,-46.875
33.97,0.029,0.0,11.75,-0.75,-46.625
34.48,0.02,0.0,11.875,-0.625,-46.75
34.995,0.033,0.0,12.0,-0.625,-46.875
35.607,0.03,0.0,12.0,-0.75,-47.0
36.12,0.02,0.0,12.0,-0.5,-46.75
36.62,0.029,0.0,11.875,-0.5,-46.75
37.12,0.021,0.0,11.875,-0.5,-46.875
37.63,0.031,0.0,12.0,-0.625,-46.625
38.24,0.029,0.0,11.875,-0.375,-46.75
38.75,0.021,0.0,12.125,-0.5,-46.75
39.26,0.031,0.0,12.125,-0.5,-46.75
39.77,0.021,0.0,12.125,-0.5,-46.875
40.38,0.03,0.0,12.125,-0.5,-47.0
40.88,0.029,0.0,12.125,-0.5,-46.875
41.48,0.031,0.0,12.0,-0.375,-47.25
