t,x,y,theta,mx,my,mz,spacebar
0.0,0.009,0.0,-0.017453292519943295,-0.125,8.78125,-48.21875,0
0.212,0.009,0.0,-0.017453292519943295,-0.125,8.78125,-48.21875,0
0.42,0.009,0.0,-0.017453292519943295,-0.125,8.78125,-48.21875,0
0.631,0.009,0.0,-0.017453292519943295,1.53125,8.78125,-48.125,0
0.841,0.009,0.0,-0.017453292519943295,2.3125,8.78125,-48.09375,0
1.051,0.009,0.0,-0.017453292519943295,4.75,8.6875,-47.96875,0
1.262,0.009,0.0,-0.017453292519943295,7.5625,8.6875,-47.5,0
1.47,0.009,0.0,-0.017453292519943295,11.40625,8.6875,-46.625,0
1.682,0.009,0.0,-0.017453292519943295,16.625,8.90625,-44.96875,0
1.9,0.009,0.0,-0.017453292519943295,20.53125,8.96875,-43.5,0
2.005,0.009,0.0,-0.017453292519943295,22.125,9.0,-42.71875,0
2.124,0.009,0.0,-0.017453292519943295,23.84375,9.0,-41.875,0
2.35,0.009,0.0,-0.017453292519943295,26.25,9.0625,-40.4375,0
2.571,0.009,0.0,-0.017453292519943295,29.875,9.1875,-37.78125,0
2.794,0.009,0.0,-0.017453292519943295,33.25,9.21875,-35.1875,0
3.003,0.009,0.0,-0.017453292519943295,35.90625,9.5,-32.46875,0
3.212,0.009,0.0,-0.017453292519943295,38.59375,9.71875,-29.25,0
3.422,0.009,0.0,-0.017453292519943295,41.15625,9.90625,-25.5625,0
3.641,0.009,0.0,-0.017453292519943295,44.28125,10.15625,-19.96875,0
3.851,0.009,0.0,-0.017453292519943295,46.53125,10.25,-14.8125,0
4.075,0.009,0.0,-0.017453292519943295,47.875,10.59375,-9.90625,0
4.294,0.009,0.0,-0.017453292519943295,48.65625,10.9375,-5.46875,0
4.504,0.009,0.0,-0.017453292519943295,48.65625,11.125,-1.21875,0
4.714,0.009,0.0,-0.017453292519943295,48.65625,11.4375,4.375,0
4.925,0.009,0.0,-0.017453292519943295,48.0625,11.78125,9.40625,0
5.142,0.009,0.0,-0.017453292519943295,47.1875,11.84375,12.5,0
5.352,0.009,0.0,-0.017453292519943295,46.125,11.875,16.5,0
5.561,0.009,0.0,-0.017453292519943295,43.625,12.5,22.21875,0
5.77,0.009,0.0,-0.017453292519943295,40.71875,12.8125,26.5,0
5.98,0.009,0.0,-0.017453292519943295,37.71875,12.9375,30.875,0
6.192,0.009,0.0,-0.017453292519943295,33.21875,13.25,35.3125,0
6.401,0.009,0.0,-0.017453292519943295,30.9375,13.28125,37.03125,0
6.612,0.009,0.0,-0.017453292519943295,26.875,13.9375,40.15625,0
6.821,0.009,0.0,-0.017453292519943295,22.9375,14.0,42.1875,0
7.093,0.009,0.0,-0.017453292519943295,16.53125,14.09375,45.4375,0
7.239,0.009,0.0,-0.017453292519943295,14.90625,14.09375,45.6875,0
7.453,0.013,0.0,-0.05235987755982988,11.09375,14.0,47.09375,0
7.661,0.014,0.0,-0.05235987755982988,10.28125,13.8125,47.3125,0
7.872,0.014,0.0,-0.05235987755982988,8.71875,12.9375,48.0,0
8.081,0.014,0.0,-0.05235987755982988,5.09375,12.78125,48.65625,0
8.293,0.015,0.0,-0.05235987755982988,3.9375,12.78125,48.65625,0
8.501,0.015,0.0,-0.05235987755982988,3.78125,12.78125,48.65625,0
8.712,0.015,0.0,-0.05235987755982988,-0.84375,16.0,48.1875,0
8.921,0.015,0.0,-0.05235987755982988,-3.875,17.71875,47.75,0
9.13,0.015,0.0,-0.05235987755982988,-3.96875,17.71875,47.75,0
9.342,0.015,0.0,-0.05235987755982988,-5.15625,17.71875,47.75,0
9.551,0.015,0.0,-0.05235987755982988,-5.28125,16.15625,48.28125,0
9.761,0.015,0.0,-0.05235987755982988,-5.53125,13.875,48.84375,0
9.973,0.015,0.0,-0.05235987755982988,-5.53125,12.46875,49.15625,0
10.181,0.015,0.0,-0.05235987755982988,-7.25,12.46875,49.15625,0
10.4,0.015,0.0,-0.05235987755982988,-8.6875,12.46875,49.15625,0
10.611,0.015,0.0,-0.05235987755982988,-12.625,13.25,48.125,0
10.821,0.015,0.0,-0.05235987755982988,-12.8125,13.875,47.75,0
