t,x,y,theta,mx,my,mz,spacebar
0.0,0.009,0.0,0.0,-0.125,-18.4375,-48.375,0
0.105,0.009,0.0,0.0,-0.125,-18.4375,-48.375,0
0.323,0.027,0.0,0.0,-0.125,-18.4375,-48.375,0
0.53,0.046,0.0,0.0,-0.09375,-18.4375,-48.375,0
0.63,0.063,0.0,0.0,-0.0625,-18.5,-48.375,0
0.735,0.063,0.0,0.0,-0.03125,-18.5,-48.375,0
0.94,0.083,0.0,0.0,-0.0625,-18.5,-48.40625,0
1.148,0.102,0.0,0.0,-0.03125,-18.5,-48.4375,0
1.254,0.121,0.0,0.0,0.0,-18.46875,-48.59375,0
1.37,0.121,0.0,0.0,0.03125,-18.40625,-48.625,0
1.57,0.14,0.0,0.0,0.40625,-18.28125,-48.625,0
1.777,0.16,0.0,0.0,0.4375,-18.1875,-48.6875,0
1.989,0.179,0.0,0.0,0.53125,-18.15625,-48.71875,0
2.198,0.198,0.0,0.0,0.53125,-18.125,-48.78125,0
2.41,0.217,0.0,0.0,0.625,-18.09375,-48.875,0
2.618,0.237,0.0,0.0,0.65625,-18.09375,-48.875,0
2.829,0.256,0.0,0.0,0.71875,-18.03125,-48.90625,0
3.038,0.275,0.0,0.0,0.71875,-18.03125,-49.0,0
3.248,0.294,0.0,0.0,0.71875,-18.09375,-49.03125,0
3.518,0.314,0.0,0.0,0.71875,-18.0625,-49.0625,0
3.56,0.331,0.0,0.0,0.71875,-18.0625,-49.15625,0
3.665,0.331,0.0,0.0,0.71875,-18.0625,-49.15625,0
3.77,0.351,0.0,0.0,0.8125,-18.03125,-49.15625,0
3.88,0.351,0.0,0.0,0.84375,-17.875,-49.1875,0
3.98,0.37,0.0,0.0,0.8125,-17.875,-49.1875,0
4.09,0.37,0.0,0.0,0.8125,-17.875,-49.21875,0
4.19,0.389,0.0,0.0,0.8125,-17.875,-49.25,0
4.3,0.389,0.0,0.0,0.8125,-17.9375,-49.34375,0
4.4,0.408,0.0,0.0,0.6875,-17.9375,-49.40625,0
4.51,0.408,0.0,0.0,0.59375,-17.8125,-49.40625,0
4.71,0.428,0.0,0.0,0.59375,-17.8125,-49.5,0
4.918,0.447,0.0,0.0,0.53125,-17.84375,-49.5625,0
5.128,0.466,0.0,0.0,0.53125,-17.84375,-49.5625,0
5.337,0.485,0.0,0.0,0.53125,-17.84375,-49.59375,0
5.549,0.505,0.0,0.0,0.53125,-17.84375,-49.71875,0
5.757,0.524,0.0,0.0,0.53125,-17.84375,-49.78125,0
5.968,0.543,0.0,0.0,0.46875,-17.78125,-49.8125,0
6.178,0.562,0.0,0.0,0.46875,-17.78125,-49.90625,0
6.389,0.582,0.0,0.0,0.4375,-17.78125,-50.0,0
6.657,0.601,0.0,0.0,0.25,-17.78125,-50.0625,0
6.81,0.62,0.0,0.0,0.25,-17.78125,-50.09375,0
6.91,0.638,0.0,0.0,0.25,-17.8125,-50.125,0
7.02,0.638,0.0,0.0,0.125,-17.8125,-50.21875,0
7.12,0.658,0.0,0.0,0.1875,-17.84375,-50.25,0
7.23,0.658,0.0,0.0,0.1875,-18.0,-50.25,0
