t,x,y,theta,mx,my,mz,spacebar
0.0,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
0.0,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
0.1,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
0.1,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
0.2,0.0,0.0,0.0,-18.75,-0.375,-56.625,0
0.2,0.0,0.0,0.0,-18.75,-0.375,-56.625,0
0.31,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
0.41,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
0.51,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
0.51,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
0.61,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
0.61,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
0.71,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
0.71,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
0.817,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
0.817,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
0.92,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
0.92,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
1.027,0.0,0.0,0.0,-18.75,-0.625,-56.625,0
1.027,0.0,0.0,0.0,-18.75,-0.625,-56.625,0
1.13,0.0,0.0,0.0,-18.75,-0.625,-56.5,0
1.18,0.0,0.0,0.0,-18.75,-0.625,-56.5,0
1.23,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
1.23,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
1.33,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
1.33,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
1.43,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
1.43,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
1.53,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
1.53,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
1.63,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
1.63,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
1.73,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
1.73,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
1.834,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
1.834,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
1.94,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
1.94,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
2.04,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
2.04,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
2.14,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
2.14,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
2.244,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
2.244,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
2.35,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
2.35,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
2.45,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
2.45,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
2.55,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
2.55,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
2.695,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
2.76,0.0,0.0,0.0,-18.625,-0.5,-56.625,0
2.76,0.0,0.0,0.0,-18.625,-0.5,-56.625,0
2.87,0.0,0.0,0.0,-18.625,-0.5,-56.625,0
2.87,0.0,0.0,0.0,-18.625,-0.5,-56.625,0
2.97,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
2.97,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
3.07,0.0,0.0,0.0,-18.75,-0.375,-56.625,0
3.07,0.0,0.0,0.0,-18.75,-0.375,-56.625,0
3.17,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
3.17,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
3.27,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
3.37,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
3.37,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
3.47,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
3.47,0.0,0.0,0.0,-18.75,-0.5,-56.625,0
3.58,0.0,0.0,0.0,-18.75,-0.5,-56.5,0
3.58,0.002,0.0,0.0,-18.75,-0.5,-56.5,0
3.68,0.002,0.0,0.0,-18.875,-0.5,-56.625,0
3.68,0.002,0.0,0.0,-18.75,-0.5,-56.5,0
3.79,0.008,0.0,0.0,-18.75,-0.5,-56.5,0
3.89,0.008,0.0,0.0,-18.75,-0.5,-56.5,0
3.89,0.008,0.0,0.0,-18.875,-0.625,-56.5,0
3.99,0.008,0.0,0.0,-19.0,-0.5,-56.5,0
3.99,0.018,0.0,0.0,-19.0,-0.625,-56.5,0
4.09,0.018,0.0,0.0,-19.125,-0.625,-56.5,0
4.205,0.018,0.0,0.0,-19.125,-0.625,-56.5,0
4.205,0.027,0.0,0.0,-19.125,-0.625,-56.5,0
4.29,0.027,0.0,0.0,-19.125,-0.625,-56.5,0
4.29,0.027,0.0,0.0,-19.125,-0.625,-56.5,0
4.39,0.027,0.0,0.0,-19.0,-0.625,-56.5,0
4.39,0.038,0.0,0.0,-19.0,-0.625,-56.5,0
4.49,0.038,0.0,0.0,-19.125,-0.625,-56.625,0
4.49,0.038,0.0,0.0,-19.125,-0.625,-56.625,0
4.6,0.047,0.0,0.0,-19.125,-0.5,-56.625,0
4.7,0.047,0.0,0.0,-19.125,-0.375,-56.625,0
4.7,0.047,0.0,0.0,-19.125,-0.375,-56.625,0
4.8,0.047,0.0,0.0,-19.125,-0.375,-56.625,0
4.8,0.058,0.0,0.0,-19.125,-0.375,-56.625,0
4.9,0.058,0.0,0.0,-19.25,-0.375,-56.625,0
5.0,0.058,0.0,0.0,-19.25,-0.25,-56.625,0
5.0,0.068,0.0,0.0,-19.25,-0.25,-56.625,0
5.1,0.068,0.0,0.0,-19.25,-0.25,-56.625,0
5.1,0.068,0.0,0.0,-19.25,-0.25,-56.625,0
5.2,0.078,0.0,0.0,-19.25,-0.25,-56.625,0
5.3,0.078,0.0,0.0,-19.25,-0.25,-56.625,0
5.3,0.078,0.0,0.0,-19.25,-0.25,-56.75,0
5.4,0.078,0.0,0.0,-19.25,-0.125,-56.625,0
5.4,0.088,0.0,0.0,-19.25,-0.125,-56.625,0
5.5,0.088,0.0,0.0,-19.375,-0.25,-56.625,0
5.5,0.088,0.0,0.0,-19.375,-0.25,-56.625,0
5.6,0.098,0.0,0.0,-19.375,-0.25,-56.625,0
5.715,0.098,0.0,0.0,-19.375,-0.25,-56.625,0
5.715,0.098,0.0,0.0,-19.375,-0.25,-56.625,0
5.8,0.108,0.0,0.0,-19.375,-0.25,-56.625,0
5.9,0.108,0.0,0.0,-19.375,-0.25,-56.625,0
5.9,0.108,0.0,0.0,-19.375,-0.25,-56.625,0
6.0,0.108,0.0,0.0,-19.375,-0.25,-56.625,0
6.0,0.118,0.0,0.0,-19.375,-0.25,-56.625,0
6.1,0.118,0.0,0.0,-19.375,0.0,-56.75,0
6.1,0.118,0.0,0.0,-19.375,0.0,-56.75,0
6.2,0.129,0.0,0.0,-19.375,0.0,-56.75,0
6.3,0.129,0.0,0.0,-19.375,0.0,-56.75,0
6.3,0.129,0.0,0.0,-19.375,0.0,-56.75,0
6.4,0.139,0.0,0.0,-19.5,0.0,-56.75,0
6.5,0.139,0.0,0.0,-19.5,0.0,-56.75,0
6.5,0.139,0.0,0.0,-19.5,0.0,-56.75,0
6.6,0.139,0.0,0.0,-19.625,0.125,-56.875,0
6.6,0.149,0.0,0.0,-19.625,0.125,-56.875,0
6.7,0.149,0.0,0.0,-19.625,0.125,-56.875,0
6.7,0.149,0.0,0.0,-19.625,0.125,-56.875,0
6.8,0.158,0.0,0.0,-19.5,0.125,-56.875,0
6.9,0.158,0.0,0.0,-19.5,0.125,-56.875,0
6.9,0.158,0.0,0.0,-19.5,0.125,-56.75,0
7.0,0.158,0.0,0.0,-19.5,0.125,-56.875,0
7.0,0.168,0.0,0.0,-19.5,0.125,-56.875,0
7.1,0.168,0.0,0.0,-19.375,0.125,-56.875,0
7.1,0.168,0.0,0.0,-19.375,0.125,-56.875,0
7.216,0.168,0.0,0.0,-19.375,0.125,-56.875,0
7.216,0.178,0.0,0.0,-19.375,0.125,-56.875,0
7.3,0.178,0.0,0.0,-19.375,0.125,-57.0,0
7.3,0.178,0.0,0.0,-19.375,0.125,-57.0,0
7.41,0.188,0.0,0.0,-19.375,0.125,-57.0,0
7.41,0.188,0.0,0.0,-19.375,0.125,-57.0,0
7.53,0.188,0.0,0.0,-19.375,0.25,-57.0,0
7.53,0.188,0.0,0.0,-19.375,0.25,-57.0,0
7.634,0.198,0.0,0.0,-19.375,0.25,-57.0,0
