t,x,y,theta,mx,my,mz,spacebar
0.0,0.0,0.0,0.0,-14.3125,3.4375,-46.0,0
0.1,0.0,0.0,0.0,-14.3125,3.4375,-46.0,0
0.2,0.0,0.0,0.0,-14.3125,3.4375,-46.0,0
0.2,0.0,0.0,0.0,-14.25,3.4375,-46.0,0
0.3,0.0,0.0,0.0,-14.25,3.4375,-46.0,0
0.4,0.0,0.0,0.0,-14.25,3.4375,-46.0,0
0.4,0.0,0.0,0.0,-14.25,3.4375,-46.0,0
0.5,0.0,0.0,0.0,-14.25,3.4375,-46.0,0
0.601,0.0,0.0,0.0,-14.25,3.5,-46.0,0
0.705,0.0,0.0,0.0,-14.3125,3.5,-45.9375,0
0.705,0.0,0.0,0.0,-14.3125,3.5,-45.9375,0
0.81,0.0,0.0,0.0,-14.3125,3.5,-45.9375,0
0.91,0.0,0.0,0.0,-14.3125,3.5,-46.0,0
0.91,0.0,0.0,0.0,-14.3125,3.5,-46.0,0
1.01,0.0,0.0,0.0,-14.25,3.5,-46.0,0
1.01,0.0,0.0,0.0,-14.25,3.5,-46.0,0
1.12,0.0,0.0,0.0,-14.25,3.5,-46.0,0
1.22,0.0,0.0,0.0,-14.25,3.5,-46.0,0
1.32,0.0,0.0,0.0,-14.3125,3.5,-46.0,0
1.45,0.0,0.0,0.0,-14.3125,3.5625,-46.0,0
1.45,0.0,0.0,0.0,-14.3125,3.5625,-46.0,0
1.52,0.001,0.0,0.0,-14.3125,3.5625,-46.0,0
1.62,0.001,0.0,0.0,-14.3125,3.5625,-45.9375,0
1.72,0.001,0.0,0.0,-14.5,3.5625,-45.9375,0
1.72,0.006,0.0,0.0,-14.5,3.5,-46.0,0
1.83,0.006,0.0,0.0,-14.5,3.4375,-45.9375,0
1.83,0.006,0.0,0.0,-14.5,3.4375,-46.0,0
1.93,0.017,0.0,0.0,-14.5625,3.375,-46.0,0
2.03,0.017,0.0,0.0,-14.625,3.375,-46.0,0
2.03,0.017,0.0,0.0,-14.625,3.3125,-45.9375,0
2.13,0.027,0.0,0.0,-14.75,3.3125,-45.9375,0
2.23,0.027,0.0,0.0,-14.75,3.3125,-45.9375,0
2.23,0.027,0.0,0.0,-14.8125,3.3125,-45.9375,0
2.33,0.027,0.0,0.0,-14.9375,3.25,-46.0,0
2.43,0.037,0.0,0.0,-15.0,3.125,-46.0,0
2.43,0.037,0.0,0.0,-15.0,3.125,-46.0,0
2.53,0.037,0.0,0.0,-15.0625,3.125,-46.0,0
2.53,0.047,0.0,0.0,-15.0625,3.125,-46.0,0
2.642,0.047,0.0,0.0,-15.0625,3.125,-45.9375,0
2.642,0.047,0.0,0.0,-15.0625,3.125,-46.0,0
2.75,0.058,0.0,0.0,-15.125,3.125,-46.0,0
2.85,0.058,0.0,0.0,-15.1875,3.0625,-46.0,0
2.85,0.058,0.0,0.0,-15.1875,3.0625,-46.0625,0
2.98,0.068,0.0,0.0,-15.1875,3.0625,-46.0625,0
3.05,0.068,0.0,0.0,-15.25,3.0625,-46.0625,0
3.15,0.068,0.0,0.0,-15.3125,3.0625,-46.0625,0
3.15,0.078,0.0,0.0,-15.3125,3.0625,-46.0625,0
3.25,0.078,0.0,0.0,-15.3125,3.0625,-46.0,0
3.25,0.078,0.0,0.0,-15.3125,3.0625,-45.9375,0
3.365,0.089,0.0,0.0,-15.3125,3.0625,-45.9375,0
3.47,0.089,0.0,0.0,-15.4375,3.0625,-45.9375,0
3.47,0.089,0.0,0.0,-15.4375,3.0,-45.9375,0
3.57,0.098,0.0,0.0,-15.5,3.0,-45.9375,0
3.67,0.098,0.0,0.0,-15.5,3.0,-45.9375,0
3.67,0.098,0.0,0.0,-15.5625,3.0,-45.9375,0
3.77,0.108,0.0,0.0,-15.5625,3.0,-45.9375,0
3.87,0.108,0.0,0.0,-15.625,3.0,-45.9375,0
3.87,0.108,0.0,0.0,-15.625,3.0,-45.9375,0
3.97,0.119,0.0,0.0,-15.6875,2.9375,-45.9375,0
4.071,0.119,0.0,0.0,-15.75,2.9375,-45.9375,0
4.173,0.119,0.0,0.0,-15.75,2.9375,-45.9375,0
4.173,0.129,0.0,0.0,-15.75,2.9375,-45.9375,0
4.274,0.129,0.0,0.0,-15.75,2.9375,-45.9375,0
4.38,0.129,0.0,0.0,-15.75,2.875,-46.0,0
4.38,0.139,0.0,0.0,-15.75,2.875,-46.0,0
4.51,0.139,0.0,0.0,-15.8125,2.875,-46.0,0
4.582,0.15,0.0,0.0,-15.8125,2.8125,-45.9375,0
4.582,0.15,0.0,0.0,-15.8125,2.8125,-45.9375,0
4.7,0.15,0.0,0.0,-15.8125,2.8125,-45.9375,0
4.7,0.15,0.0,0.0,-15.8125,2.8125,-45.9375,0
4.8,0.16,0.0,0.0,-15.875,2.8125,-46.0,0
4.9,0.16,0.0,0.0,-15.875,2.75,-46.0,0
4.9,0.16,0.0,0.0,-15.875,2.75,-46.0625,0
5.0,0.17,0.0,0.0,-15.9375,2.75,-46.0,0
5.0,0.17,0.0,0.0,-15.9375,2.75,-46.0,0
5.1,0.17,0.0,0.0,-15.9375,2.75,-46.0,0
5.1,0.17,0.0,0.0,-15.9375,2.6875,-46.0,0
5.2,0.18,0.0,0.0,-15.9375,2.6875,-46.0,0
5.3,0.18,0.0,0.0,-16.0625,2.6875,-46.0,0
5.3,0.18,0.0,0.0,-16.125,2.6875,-46.0,0
5.4,0.19,0.0,0.0,-16.125,2.6875,-46.0,0
5.5,0.19,0.0,0.0,-16.1875,2.6875,-46.0,0
5.5,0.19,0.0,0.0,-16.1875,2.6875,-46.0,0
