t,x,y,theta,mx,my,mz,spacebar
0.0,0.0,0.0,0.0,-3.84375,-12.78125,-43.3125,0
0.203,0.0,0.0,0.0,-3.84375,-12.78125,-43.3125,0
0.305,0.0,0.0,0.0,-3.84375,-12.78125,-43.3125,0
0.42,0.0,0.0,0.0,-3.84375,-12.78125,-43.3125,0
0.684,0.0,0.0,0.0,-3.84375,-12.75,-43.3125,0
0.828,0.0,0.0,0.0,-3.84375,-12.75,-43.3125,0
0.935,0.0,0.0,0.0,-3.84375,-12.71875,-43.3125,0
1.035,0.0,0.0,0.0,-3.84375,-12.78125,-43.3125,0
1.24,0.0,0.0,0.0,-3.84375,-12.75,-43.3125,0
1.345,0.0,0.0,0.0,-3.84375,-12.75,-43.3125,0
1.55,0.0,0.0,0.0,-3.84375,-12.71875,-43.28125,0
1.654,0.002,0.0,0.0,-3.875,-12.75,-43.25,0
1.76,0.01,0.0,0.0,-3.9375,-12.75,-43.21875,0
1.86,0.01,0.0,0.0,-3.9375,-12.8125,-43.1875,0
2.074,0.02,0.0,0.0,-3.9375,-12.84375,-43.15625,0
2.284,0.03,0.0,0.0,-3.9375,-12.90625,-43.0,0
2.391,0.03,0.0,0.0,-3.875,-12.9375,-43.0,0
2.493,0.041,0.0,0.0,-3.8125,-12.9375,-42.875,0
2.601,0.052,0.0,0.0,-3.8125,-12.9375,-42.84375,0
2.715,0.052,0.0,0.0,-3.8125,-12.96875,-42.75,0
2.929,0.063,0.0,0.0,-3.84375,-13.09375,-42.71875,0
3.035,0.073,0.0,0.0,-3.84375,-13.09375,-42.6875,0
3.141,0.073,0.0,0.0,-3.84375,-13.09375,-42.59375,0
3.245,0.083,0.0,0.0,-3.84375,-13.125,-42.5625,0
3.35,0.083,0.0,0.0,-3.8125,-13.125,-42.53125,0
3.556,0.095,0.0,0.0,-3.8125,-13.125,-42.375,0
3.665,0.105,0.0,0.0,-3.8125,-13.125,-42.34375,0
3.83,0.105,0.0,0.0,-3.78125,-13.15625,-42.34375,0
3.979,0.115,0.0,0.0,-3.75,-13.15625,-42.125,0
4.085,0.126,0.0,0.0,-3.78125,-13.21875,-42.09375,0
4.185,0.126,0.0,0.0,-3.78125,-13.21875,-42.0,0
4.4,0.137,0.0,0.0,-3.78125,-13.21875,-42.0,0
4.508,0.147,0.0,0.0,-3.78125,-13.25,-41.96875,0
4.61,0.147,0.0,0.0,-3.78125,-13.25,-41.96875,0
4.711,0.161,0.0,0.0,-3.78125,-13.25,-41.84375,0
4.915,0.161,0.0,0.0,-3.8125,-13.34375,-41.65625,0
5.025,0.18,0.0,0.0,-3.8125,-13.375,-41.625,0
5.229,0.199,0.0,0.0,-3.8125,-13.375,-41.46875,0
5.436,0.218,0.0,0.0,-3.8125,-13.375,-41.3125,0
5.545,0.236,0.0,0.0,-3.6875,-13.40625,-41.1875,0
5.645,0.236,0.0,0.0,-3.625,-13.40625,-41.1875,0
5.851,0.257,0.0,0.0,-3.5625,-13.40625,-41.09375,0
5.955,0.274,0.0,0.0,-3.4375,-13.40625,-40.9375,0
6.07,0.274,0.0,0.0,-3.375,-13.375,-40.875,0
6.175,0.294,0.0,0.0,-3.34375,-13.375,-40.875,0
6.28,0.294,0.0,0.0,-3.3125,-13.34375,-40.84375,0
6.381,0.313,0.0,0.0,-3.25,-13.3125,-40.75,0
6.49,0.313,0.0,0.0,-2.96875,-13.3125,-40.75,0
6.695,0.333,0.0,0.0,-2.90625,-13.21875,-40.65625,0
6.795,0.351,0.0,0.0,-2.90625,-13.1875,-40.625,0
6.97,0.351,0.0,0.0,-2.8125,-13.1875,-40.625,0
7.121,0.372,0.0,0.0,-2.78125,-13.15625,-40.59375,0
7.227,0.39,0.0,0.0,-2.6875,-13.125,-40.59375,0
7.33,0.39,0.0,0.0,-2.625,-13.125,-40.59375,0
7.435,0.409,0.0,0.0,-2.375,-13.0,-40.65625,0
7.54,0.409,0.0,0.0,-2.375,-12.90625,-40.65625,0
7.745,0.43,0.0,0.0,-2.375,-12.875,-40.65625,0
7.845,0.447,0.0,0.0,-2.28125,-12.8125,-40.71875,0
7.96,0.447,0.0,0.0,-2.21875,-12.8125,-40.71875,0
8.065,0.467,0.0,0.0,-1.9375,-12.78125,-40.8125,0
8.165,0.467,0.0,0.0,-1.84375,-12.59375,-40.875,0
8.381,0.487,0.0,0.0,-1.6875,-12.5,-40.875,0
8.588,0.507,0.0,0.0,-1.5625,-12.4375,-40.96875,0
8.695,0.525,0.0,0.0,-1.5625,-12.3125,-41.0625,0
8.895,0.525,0.0,0.0,-1.5625,-12.28125,-41.1875,0
9.005,0.544,0.0,0.0,-1.5625,-12.1875,-41.25,0
9.208,0.563,0.0,0.0,-1.5625,-11.9375,-41.34375,0
9.315,0.563,0.0,0.0,-1.5625,-11.9375,-41.4375,0
9.418,0.583,0.0,0.0,-1.53125,-11.90625,-41.4375,0
9.623,0.602,0.0,0.0,-1.53125,-11.625,-41.6875,0
9.725,0.62,0.0,0.0,-1.53125,-11.53125,-41.6875,0
9.84,0.62,0.0,0.0,-1.5625,-11.46875,-41.875,0
10.105,0.64,0.0,0.0,-1.53125,-11.46875,-41.90625,0
10.145,0.658,0.0,0.0,-1.6875,-11.46875,-42.0,0
10.26,0.658,0.0,0.0,-1.6875,-11.34375,-42.15625,0
10.365,0.677,0.0,0.0,-1.84375,-11.28125,-42.1875,0
10.47,0.677,0.0,0.0,-1.84375,-11.15625,-42.21875,0
10.674,0.697,0.0,0.0,-1.9375,-11.0,-42.375,0
10.775,0.716,0.0,0.0,-1.9375,-11.0,-42.40625,0
10.89,0.716,0.0,0.0,-1.9375,-11.0,-42.4375,0
11.095,0.736,0.0,0.0,-2.0,-10.9375,-42.59375,0
11.195,0.754,0.0,0.0,-2.0,-10.75,-42.65625,0
11.31,0.754,0.0,0.0,-2.0,-10.71875,-42.71875,0
11.515,0.775,0.0,0.0,-2.0,-10.5,-42.875,0
11.615,0.793,0.0,0.0,-2.09375,-10.5,-43.03125,0
11.73,0.793,0.0,0.0,-2.40625,-10.5,-43.0625,0
11.935,0.813,0.0,0.0,-2.5,-10.375,-43.15625,0
12.138,0.831,0.0,0.0,-2.53125,-10.15625,-43.1875,0
12.245,0.849,0.0,0.0,-2.53125,-10.125,-43.1875,0
12.345,0.849,0.0,0.0,-2.65625,-10.125,-43.28125,0
12.445,0.868,0.0,0.0,-2.71875,-10.09375,-43.28125,0
12.55,0.868,0.0,0.0,-2.75,-9.96875,-43.3125,0
12.76,0.889,0.0,0.0,-2.90625,-9.84375,-43.4375,0
12.865,0.907,0.0,0.0,-3.03125,-9.8125,-43.53125,0
12.97,0.907,0.0,0.0,-3.09375,-9.78125,-43.53125,0
13.182,0.927,0.0,0.0,-3.125,-9.75,-43.59375,0
13.285,0.945,0.0,0.0,-3.21875,-9.625,-43.65625,0
13.4,0.945,0.0,0.0,-3.46875,-9.59375,-43.65625,0
13.605,0.966,0.0,0.0,-3.6875,-9.59375,-43.75,0
13.705,0.984,0.0,0.0,-3.6875,-9.59375,-43.78125,0
13.82,0.984,0.0,0.0,-3.78125,-9.59375,-43.78125,0
14.025,1.004,0.0,0.0,-3.8125,-9.59375,-43.8125,0
14.125,1.022,0.0,0.0,-3.90625,-9.53125,-43.8125,0
14.24,1.022,0.0,0.0,-4.0,-9.53125,-43.8125,0
14.445,1.043,0.0,0.0,-4.09375,-9.53125,-43.84375,0
14.545,1.061,0.0,0.0,-4.15625,-9.5625,-43.875,0
14.72,1.061,0.0,0.0,-4.34375,-9.5625,-43.875,0
14.865,1.081,0.0,0.0,-4.34375,-9.59375,-43.90625,0
14.965,1.099,0.0,0.0,-4.4375,-9.625,-43.9375,0
15.08,1.099,0.0,0.0,-4.5625,-9.65625,-43.9375,0
15.285,1.12,0.0,0.0,-4.59375,-9.65625,-43.9375,0
15.385,1.138,0.0,0.0,-4.6875,-9.6875,-43.875,0
15.5,1.138,0.0,0.0,-4.75,-9.75,-43.84375,0
15.705,1.159,0.0,0.0,-5.0,-9.8125,-43.84375,0
15.908,1.176,0.0,0.0,-5.25,-9.84375,-43.875,0
16.015,1.194,0.0,0.0,-5.28125,-9.875,-43.84375,0
16.115,1.194,0.0,0.0,-5.34375,-9.875,-43.84375,0
16.274,1.214,0.0,0.0,-5.4375,-10.03125,-43.8125,0
16.32,1.214,0.0,0.0,-5.5625,-10.03125,-43.8125,0
16.53,1.234,0.0,0.0,-5.71875,-10.03125,-43.78125,0
