t,x,y,theta,mx,my,mz,spacebar
0.0,0.0,0.0,0.0,-2.25,-19.375,-55.875,0
0.1,0.0,0.0,0.0,-2.25,-19.375,-55.875,0
0.215,0.0,0.0,0.0,-2.25,-19.375,-55.875,0
0.32,0.0,0.0,0.0,-2.25,-19.25,-55.875,0
0.518,0.0,0.0,0.0,-2.25,-19.25,-55.875,0
0.54,0.0,0.0,0.0,-2.25,-19.25,-55.875,0
0.664,0.0,0.0,0.0,-2.25,-19.25,-55.875,0
0.77,0.0,0.0,0.0,-2.25,-19.25,-55.875,0
0.883,0.0,0.0,0.0,-2.25,-19.25,-55.875,0
0.99,0.0,0.0,0.0,-2.25,-19.25,-55.875,0
1.103,0.0,0.0,0.0,-2.25,-19.25,-55.875,0
1.318,0.0,0.0,0.0,-2.25,-19.25,-55.875,0
1.42,0.0,0.0,0.0,-2.25,-19.25,-55.875,0
1.528,0.0,0.0,0.0,-2.25,-19.125,-55.875,0
1.63,0.0,0.0,0.0,-2.25,-19.125,-55.875,0
1.747,0.007,0.0,0.0,-2.5,-19.125,-55.75,0
1.85,0.007,0.0,0.0,-2.5,-19.125,-55.75,0
1.968,0.017,0.0,0.0,-2.625,-19.125,-55.75,0
2.17,0.017,0.0,0.0,-2.75,-19.125,-55.75,0
2.278,0.029,0.0,0.0,-2.75,-19.125,-55.625,0
2.38,0.043,0.0,0.0,-2.75,-19.125,-55.625,0
2.498,0.043,0.0,0.0,-2.625,-19.125,-55.5,0
2.6,0.061,0.0,0.0,-2.375,-19.125,-55.5,0
2.7,0.061,0.0,0.0,-2.25,-19.0,-55.375,0
2.813,0.082,0.0,0.0,-2.25,-18.875,-55.375,0
2.92,0.082,0.0,0.0,-2.25,-18.875,-55.25,0
3.033,0.102,0.0,0.0,-2.25,-18.875,-55.25,0
3.14,0.102,0.0,0.0,-2.25,-18.75,-55.125,0
3.264,0.123,0.0,0.0,-2.25,-18.75,-55.125,0
3.37,0.123,0.0,0.0,-2.25,-18.75,-55.0,0
3.574,0.143,0.0,0.0,-2.25,-18.75,-54.875,0
3.628,0.143,0.0,0.0,-2.25,-18.75,-54.875,0
3.734,0.162,0.0,0.0,-2.25,-18.75,-54.75,0
3.848,0.162,0.0,0.0,-2.625,-18.75,-54.625,0
3.948,0.181,0.0,0.0,-2.625,-18.75,-54.625,0
4.048,0.181,0.0,0.0,-2.625,-18.75,-54.5,0
4.158,0.197,0.0,0.0,-2.625,-18.75,-54.5,0
4.26,0.218,0.0,0.0,-2.625,-18.75,-54.375,0
4.36,0.218,0.0,0.0,-2.625,-18.625,-54.25,0
4.468,0.218,0.0,0.0,-2.625,-18.625,-54.125,0
4.57,0.239,0.0,0.0,-2.625,-18.625,-54.125,0
4.688,0.239,0.0,0.0,-2.75,-18.625,-54.0,0
4.795,0.259,0.0,0.0,-2.75,-18.5,-54.0,0
4.928,0.259,0.0,0.0,-2.75,-18.5,-54.0,0
5.078,0.28,0.0,0.0,-2.75,-18.375,-53.875,0
5.148,0.28,0.0,0.0,-2.75,-18.375,-53.75,0
5.26,0.3,0.0,0.0,-2.75,-18.25,-53.75,0
5.368,0.3,0.0,0.0,-2.75,-18.25,-53.625,0
5.47,0.318,0.0,0.0,-2.75,-18.25,-53.625,0
5.594,0.318,0.0,0.0,-2.875,-18.25,-53.5,0
5.699,0.337,0.0,0.0,-2.875,-18.25,-53.5,0
5.8,0.337,0.0,0.0,-3.0,-18.25,-53.5,0
5.918,0.358,0.0,0.0,-2.875,-18.25,-53.5,0
6.02,0.376,0.0,0.0,-2.875,-18.125,-53.375,0
6.134,0.376,0.0,0.0,-2.875,-18.125,-53.25,0
6.134,0.376,0.0,0.0,-2.875,-18.125,-53.25,0
6.24,0.394,0.0,0.0,-2.875,-18.0,-53.125,0
6.368,0.394,0.0,0.0,-2.875,-18.0,-53.125,0
6.47,0.412,0.0,0.0,-2.875,-18.0,-53.125,0
6.614,0.412,0.0,0.0,-2.875,-18.0,-53.125,0
6.7,0.432,0.0,0.0,-2.875,-18.125,-53.0,0
6.7,0.432,0.0,0.0,-2.875,-18.125,-53.0,0
6.8,0.432,0.0,0.0,-2.875,-18.125,-53.0,0
6.918,0.45,0.0,0.0,-2.875,-18.0,-52.875,0
7.02,0.45,0.0,0.0,-2.625,-17.875,-52.875,0
7.128,0.469,0.0,0.0,-2.625,-17.75,-52.875,0
7.23,0.469,0.0,0.0,-2.625,-17.75,-52.75,0
7.358,0.489,0.0,0.0,-2.625,-17.75,-52.75,0
7.358,0.489,0.0,0.0,-2.625,-17.625,-52.75,0
7.46,0.508,0.0,0.0,-2.625,-17.625,-52.75,0
7.578,0.508,0.0,0.0,-2.625,-17.625,-52.625,0
7.68,0.508,0.0,0.0,-2.625,-17.625,-52.625,0
7.788,0.529,0.0,0.0,-2.625,-17.625,-52.5,0
7.89,0.529,0.0,0.0,-2.75,-17.625,-52.5,0
8.008,0.549,0.0,0.0,-2.75,-17.625,-52.375,0
8.125,0.568,0.0,0.0,-2.75,-17.625,-52.375,0
8.228,0.568,0.0,0.0,-2.75,-17.625,-52.25,0
8.33,0.568,0.0,0.0,-2.625,-17.625,-52.125,0
8.44,0.588,0.0,0.0,-2.625,-17.625,-52.125,0
8.44,0.588,0.0,0.0,-2.625,-17.5,-52.125,0
8.568,0.607,0.0,0.0,-2.625,-17.5,-52.125,0
8.67,0.607,0.0,0.0,-2.625,-17.5,-52.0,0
8.788,0.626,0.0,0.0,-2.625,-17.5,-52.0,0
8.89,0.626,0.0,0.0,-2.5,-17.5,-52.0,0
8.99,0.646,0.0,0.0,-2.5,-17.5,-52.0,0
9.118,0.646,0.0,0.0,-2.5,-17.5,-51.875,0
9.225,0.665,0.0,0.0,-2.375,-17.5,-51.875,0
9.358,0.665,0.0,0.0,-2.375,-17.5,-51.75,0
9.46,0.686,0.0,0.0,-2.375,-17.5,-51.75,0
9.578,0.686,0.0,0.0,-2.25,-17.375,-51.625,0
9.681,0.706,0.0,0.0,-2.25,-17.25,-51.625,0
9.808,0.706,0.0,0.0,-2.25,-17.25,-51.625,0
9.91,0.727,0.0,0.0,-2.125,-17.25,-51.5,0
10.028,0.727,0.0,0.0,-2.125,-17.25,-51.5,0
10.14,0.747,0.0,0.0,-2.125,-17.25,-51.5,0
10.14,0.747,0.0,0.0,-2.125,-17.25,-51.5,0
10.24,0.764,0.0,0.0,-2.125,-17.25,-51.375,0
10.358,0.764,0.0,0.0,-2.125,-17.25,-51.375,0
10.46,0.764,0.0,0.0,-2.0,-17.25,-51.375,0
10.588,0.784,0.0,0.0,-2.0,-17.25,-51.25,0
10.588,0.784,0.0,0.0,-2.0,-17.25,-51.25,0
10.82,0.805,0.0,0.0,-2.0,-17.25,-51.25,0
10.92,0.805,0.0,0.0,-2.0,-17.25,-51.25,0
10.92,0.823,0.0,0.0,-2.0,-17.25,-51.125,0
11.02,0.823,0.0,0.0,-2.0,-17.25,-51.125,0
11.162,0.843,0.0,0.0,-2.0,-17.25,-51.125,0
11.24,0.843,0.0,0.0,-2.0,-17.25,-51.125,0
11.355,0.864,0.0,0.0,-2.0,-17.25,-51.125,0
11.46,0.864,0.0,0.0,-1.875,-17.25,-51.0,0
11.585,0.869,0.0,-0.017453292519943295,-1.625,-17.25,-51.0,0
11.69,0.869,0.0,-0.017453292519943295,-1.25,-17.25,-51.0,0
11.808,0.873,0.0,-0.10471975511965977,-0.875,-17.25,-51.0,0
11.91,0.873,0.0,-0.10471975511965977,-0.25,-17.25,-51.0,0
12.038,0.875,0.0,-0.20943951023931953,0.75,-17.125,-51.125,0
12.14,0.875,0.0,-0.20943951023931953,1.25,-17.125,-51.125,0
12.268,0.875,0.0,-0.20943951023931953,2.375,-16.875,-51.125,0
12.268,0.875,0.0,-0.33161255787892263,2.375,-16.875,-51.125,0
12.37,0.875,0.0,-0.33161255787892263,3.0,-16.75,-51.125,0
12.488,0.875,0.0,-0.4363323129985824,3.875,-16.5,-51.0,0
12.67,0.875,0.0,-0.4363323129985824,4.5,-16.25,-51.0,0
12.708,0.875,0.0,-0.5585053606381855,5.375,-15.875,-51.0,0
12.81,0.875,0.0,-0.5585053606381855,6.125,-15.375,-50.875,0
12.923,0.875,0.0,-0.6806784082777886,6.75,-15.25,-50.875,0
13.03,0.875,0.0,-0.6806784082777886,7.5,-14.875,-50.875,0
13.144,0.875,0.0,-0.8028514559173915,8.125,-14.125,-50.875,0
13.25,0.875,0.0,-0.8028514559173915,8.875,-13.875,-50.875,0
13.368,0.875,0.0,-0.9250245035569946,9.5,-13.0,-50.875,0
13.47,0.875,0.0,-0.9250245035569946,9.875,-12.5,-50.875,0
13.688,0.875,0.0,-1.0297442586766543,10.75,-11.25,-50.875,0
13.688,0.875,0.0,-1.0297442586766543,10.75,-11.25,-50.75,0
13.79,0.875,0.0,-1.1344640137963142,11.25,-10.625,-50.75,0
13.89,0.875,0.0,-1.1344640137963142,11.625,-9.875,-50.75,0
14.004,0.875,0.0,-1.2566370614359172,12.0,-9.125,-50.75,0
14.17,0.875,0.0,-1.2566370614359172,12.25,-8.375,-50.75,0
14.228,0.875,0.0,-1.3613568165555772,12.5,-7.5,-50.75,0
14.33,0.875,0.0,-1.3613568165555772,12.75,-6.875,-50.75,0
14.448,0.875,0.0,-1.48352986419518,13.0,-6.0,-50.75,0
14.55,0.875,0.0,-1.48352986419518,13.0,-5.375,-50.75,0
14.666,0.875,0.0,-1.5882496193148399,13.0,-4.5,-50.75,0
14.77,0.875,0.0,-1.5882496193148399,13.0,-4.0,-50.75,0
14.888,0.876,-0.012,-1.6580627893946132,13.0,-3.875,-50.75,0
14.99,0.876,-0.012,-1.6580627893946132,13.0,-3.5,-50.75,0
15.118,0.874,-0.031,-1.6755160819145563,13.0,-3.375,-50.75,0
15.22,0.874,-0.031,-1.6755160819145563,13.0,-3.375,-50.75,0
15.348,0.872,-0.051,-1.6755160819145563,13.0,-3.25,-50.75,0
15.45,0.872,-0.051,-1.6755160819145563,13.0,-3.25,-50.75,0
15.568,0.87,-0.069,-1.6755160819145563,13.0,-3.25,-50.75,0
15.686,0.87,-0.069,-1.6755160819145563,13.0,-3.25,-50.625,0
15.788,0.868,-0.09,-1.6755160819145563,13.0,-3.25,-50.5,0
15.89,0.868,-0.09,-1.6755160819145563,13.0,-3.25,-50.5,0
16.018,0.866,-0.111,-1.6755160819145563,13.0,-3.25,-50.375,0
16.12,0.866,-0.111,-1.6755160819145563,13.0,-3.375,-50.375,0
16.238,0.864,-0.132,-1.6755160819145563,12.75,-3.5,-50.375,0
16.34,0.864,-0.132,-1.6755160819145563,12.75,-3.5,-50.375,0
16.468,0.861,-0.153,-1.6755160819145563,12.625,-3.5,-50.5,0
16.57,0.861,-0.153,-1.6755160819145563,12.625,-3.5,-50.5,0
16.688,0.859,-0.172,-1.6755160819145563,12.625,-3.5,-50.375,0
16.79,0.859,-0.172,-1.6755160819145563,12.625,-3.5,-50.375,0
16.89,0.858,-0.191,-1.6755160819145563,12.625,-3.5,-50.375,0
17.018,0.856,-0.208,-1.6755160819145563,12.625,-3.375,-50.375,0
17.19,0.856,-0.208,-1.6755160819145563,12.625,-3.375,-50.375,0
17.248,0.856,-0.208,-1.6755160819145563,12.625,-3.375,-50.375,0
17.357,0.853,-0.23,-1.6755160819145563,12.625,-3.375,-50.375,0
17.468,0.853,-0.23,-1.6755160819145563,12.625,-3.375,-50.125,0
17.575,0.851,-0.25,-1.6755160819145563,12.625,-3.5,-50.125,0
17.708,0.851,-0.25,-1.6755160819145563,12.625,-3.5,-50.125,0
17.81,0.849,-0.271,-1.6755160819145563,12.625,-3.5,-50.125,0
17.928,0.849,-0.271,-1.6755160819145563,12.625,-3.5,-50.0,0
18.04,0.847,-0.291,-1.6755160819145563,12.625,-3.5,-50.0,0
