t,x,y,theta,mx,my,mz,spacebar
0.0,0.0,0.0,0.0,-3.875,-15.875,-47.375,0
0.07,0.0,0.0,0.0,-3.875,-15.875,-47.375,0
0.07,0.0,0.0,0.0,-3.875,-15.875,-47.375,0
0.17,0.0,0.0,0.0,-3.875,-16.0,-47.5,0
0.17,0.0,0.0,0.0,-3.875,-16.0,-47.5,0
0.27,0.0,0.0,0.0,-3.875,-15.875,-47.375,0
0.27,0.0,0.0,0.0,-3.875,-15.875,-47.375,0
0.37,0.0,0.0,0.0,-3.875,-15.875,-47.375,0
0.37,0.0,0.0,0.0,-3.875,-15.875,-47.375,0
0.47,0.0,0.0,0.0,-3.875,-15.875,-47.375,0
0.57,0.0,0.0,0.0,-3.875,-15.875,-47.5,0
0.57,0.0,0.0,0.0,-3.875,-15.875,-47.5,0
0.67,0.0,0.0,0.0,-3.875,-15.875,-47.5,0
0.67,0.0,0.0,0.0,-3.875,-15.875,-47.5,0
0.77,0.0,0.0,0.0,-3.75,-16.0,-47.5,0
0.77,0.0,0.0,0.0,-3.75,-16.0,-47.5,0
0.87,0.0,0.0,0.0,-3.75,-16.0,-47.375,0
0.87,0.0,0.0,0.0,-3.75,-16.0,-47.375,0
0.97,0.0,0.0,0.0,-3.875,-15.875,-47.375,0
0.97,0.0,0.0,0.0,-3.875,-15.875,-47.375,0
1.07,0.0,0.0,0.0,-3.875,-15.875,-47.375,0
1.07,0.0,0.0,0.0,-3.875,-15.875,-47.375,0
1.17,0.0,0.0,0.0,-3.875,-15.875,-47.375,0
1.17,0.0,0.0,0.0,-3.875,-15.875,-47.375,0
1.37,0.0,0.0,0.0,-3.75,-15.875,-47.375,0
1.37,0.0,0.0,0.0,-3.75,-15.875,-47.375,0
1.5,0.0,0.0,0.0,-3.875,-15.875,-47.375,0
1.5,0.0,0.0,0.0,-3.875,-15.875,-47.375,0
1.57,0.0,0.0,0.0,-3.875,-15.875,-47.375,0
1.57,0.0,0.0,0.0,-3.875,-15.875,-47.375,0
1.67,0.003,0.0,0.0,-3.875,-15.875,-47.375,0
1.67,0.003,0.0,0.0,-3.875,-15.875,-47.375,0
1.77,0.003,0.0,0.0,-3.875,-15.75,-47.375,0
1.77,0.003,0.0,0.0,-3.875,-15.75,-47.375,0
1.87,0.011,0.0,0.0,-3.875,-15.875,-47.375,0
1.87,0.011,0.0,0.0,-3.875,-15.875,-47.375,0
2.07,0.021,0.0,0.0,-4.0,-15.75,-47.25,0
2.07,0.021,0.0,0.0,-4.0,-15.75,-47.25,0
2.17,0.021,0.0,0.0,-4.125,-15.875,-47.375,0
2.17,0.021,0.0,0.0,-4.125,-15.875,-47.375,0
2.27,0.036,0.0,0.0,-4.0,-15.75,-47.25,0
2.27,0.036,0.0,0.0,-4.0,-15.75,-47.25,0
2.37,0.036,0.0,0.0,-4.125,-15.625,-47.25,0
2.37,0.036,0.0,0.0,-4.125,-15.625,-47.25,0
2.47,0.053,0.0,0.0,-4.0,-15.625,-47.25,0
2.47,0.053,0.0,0.0,-4.0,-15.625,-47.25,0
2.57,0.053,0.0,0.0,-4.0,-15.75,-47.25,0
2.57,0.053,0.0,0.0,-4.0,-15.75,-47.25,0
2.67,0.072,0.0,0.0,-4.0,-15.75,-47.25,0
2.67,0.072,0.0,0.0,-4.0,-15.75,-47.25,0
2.77,0.072,0.0,0.0,-4.0,-15.875,-47.125,0
2.77,0.072,0.0,0.0,-4.0,-15.875,-47.125,0
2.87,0.09,0.0,0.0,-4.0,-15.875,-47.125,0
2.87,0.09,0.0,0.0,-4.0,-15.875,-47.125,0
3.0,0.09,0.0,0.0,-4.125,-16.0,-47.0,0
3.0,0.09,0.0,0.0,-4.125,-16.0,-47.0,0
3.07,0.11,0.0,0.0,-4.125,-16.0,-47.0,0
3.17,0.11,0.0,0.0,-4.125,-16.0,-47.0,0
3.17,0.11,0.0,0.0,-4.125,-16.0,-47.0,0
3.27,0.127,0.0,0.0,-4.0,-16.0,-47.0,0
3.27,0.127,0.0,0.0,-4.0,-16.0,-47.0,0
3.37,0.127,0.0,0.0,-4.0,-16.0,-46.875,0
3.37,0.127,0.0,0.0,-4.0,-16.0,-46.875,0
3.47,0.145,0.0,0.0,-3.875,-16.0,-46.875,0
3.47,0.145,0.0,0.0,-3.875,-16.0,-46.875,0
3.57,0.145,0.0,0.0,-3.875,-16.0,-46.875,0
3.57,0.145,0.0,0.0,-3.875,-16.0,-46.875,0
3.67,0.165,0.0,0.0,-3.875,-16.0,-46.875,0
3.77,0.165,0.0,0.0,-3.875,-16.0,-46.875,0
3.77,0.165,0.0,0.0,-3.875,-16.125,-46.875,0
3.87,0.183,0.0,0.0,-3.875,-16.0,-46.875,0
3.87,0.183,0.0,0.0,-3.875,-16.0,-46.875,0
3.97,0.183,0.0,0.0,-3.875,-16.125,-46.875,0
3.97,0.183,0.0,0.0,-3.875,-16.125,-46.875,0
4.07,0.201,0.0,0.0,-4.0,-16.25,-46.875,0
4.07,0.201,0.0,0.0,-4.0,-16.25,-46.875,0
4.17,0.201,0.0,0.0,-3.875,-16.25,-46.875,0
4.17,0.201,0.0,0.0,-3.875,-16.25,-46.875,0
4.27,0.218,0.0,0.0,-3.875,-16.125,-46.75,0
4.27,0.218,0.0,0.0,-3.875,-16.125,-46.75,0
4.37,0.218,0.0,0.0,-3.875,-16.125,-46.625,0
4.37,0.218,0.0,0.0,-3.875,-16.125,-46.625,0
4.503,0.237,0.0,0.0,-3.875,-16.125,-46.625,0
4.57,0.237,0.0,0.0,-3.875,-16.25,-46.625,0
4.57,0.237,0.0,0.0,-3.875,-16.25,-46.625,0
4.67,0.256,0.0,0.0,-3.875,-16.25,-46.625,0
4.67,0.256,0.0,0.0,-3.875,-16.25,-46.625,0
4.77,0.256,0.0,0.0,-3.875,-16.25,-46.625,0
4.77,0.256,0.0,0.0,-3.875,-16.25,-46.625,0
4.87,0.273,0.0,0.0,-3.875,-16.25,-46.625,0
4.87,0.273,0.0,0.0,-3.875,-16.25,-46.625,0
4.97,0.273,0.0,0.0,-3.75,-16.25,-46.625,0
4.97,0.273,0.0,0.0,-3.75,-16.25,-46.625,0
5.07,0.293,0.0,0.0,-3.75,-16.5,-46.625,0
5.07,0.293,0.0,0.0,-3.75,-16.5,-46.625,0
5.18,0.293,0.0,0.0,-3.75,-16.5,-46.625,0
5.18,0.293,0.0,0.0,-3.75,-16.5,-46.625,0
5.28,0.31,0.0,0.0,-3.625,-16.375,-46.625,0
5.38,0.31,0.0,0.0,-3.625,-16.375,-46.625,0
5.38,0.31,0.0,0.0,-3.5,-16.375,-46.625,0
5.48,0.328,0.0,0.0,-3.625,-16.375,-46.625,0
5.48,0.328,0.0,0.0,-3.625,-16.375,-46.625,0
5.58,0.328,0.0,0.0,-3.625,-16.375,-46.5,0
5.58,0.328,0.0,0.0,-3.625,-16.375,-46.5,0
5.68,0.337,0.0,0.0,-3.75,-16.375,-46.5,0
5.68,0.337,0.0,0.0,-3.75,-16.375,-46.5,0
5.78,0.337,0.0,0.0,-3.75,-16.375,-46.5,0
5.78,0.337,0.0,0.0,-3.75,-16.375,-46.5,0
5.88,0.348,0.0,0.0,-3.75,-16.375,-46.5,0
5.88,0.348,0.0,0.0,-3.75,-16.375,-46.5,0
6.006,0.348,0.0,0.0,-3.625,-16.5,-46.375,0
6.006,0.348,0.0,0.0,-3.625,-16.5,-46.375,0
6.09,0.357,0.0,0.0,-3.625,-16.5,-46.375,0
6.09,0.357,0.0,0.0,-3.625,-16.5,-46.375,0
6.19,0.357,0.0,0.0,-3.5,-16.375,-46.375,0
6.19,0.357,0.0,0.0,-3.5,-16.375,-46.375,0
6.29,0.368,0.0,0.0,-3.5,-16.375,-46.375,0
6.29,0.368,0.0,0.0,-3.5,-16.375,-46.375,0
6.39,0.368,0.0,0.0,-3.5,-16.375,-46.375,0
6.39,0.368,0.0,0.0,-3.5,-16.375,-46.375,0
6.49,0.378,0.0,0.0,-3.5,-16.5,-46.5,0
6.49,0.378,0.0,0.0,-3.5,-16.5,-46.5,0
6.59,0.378,0.0,0.0,-3.5,-16.375,-46.5,0
6.59,0.378,0.0,0.0,-3.5,-16.375,-46.5,0
6.69,0.388,0.0,0.0,-3.5,-16.375,-46.5,0
6.79,0.388,0.0,0.0,-3.5,-16.375,-46.375,0
6.79,0.388,0.0,0.0,-3.5,-16.375,-46.375,0
6.89,0.398,0.0,0.0,-3.5,-16.375,-46.375,0
6.89,0.398,0.0,0.0,-3.5,-16.375,-46.375,0
6.99,0.398,0.0,0.0,-3.5,-16.375,-46.25,0
6.99,0.398,0.0,0.0,-3.5,-16.375,-46.25,0
7.09,0.408,0.0,0.0,-3.5,-16.5,-46.125,0
7.09,0.408,0.0,0.0,-3.5,-16.5,-46.125,0
7.19,0.408,0.0,0.0,-3.25,-16.5,-46.125,0
7.19,0.408,0.0,0.0,-3.25,-16.5,-46.125,0
7.29,0.418,0.0,0.0,-3.25,-16.375,-46.125,0
7.29,0.418,0.0,0.0,-3.25,-16.375,-46.125,0
7.39,0.418,0.0,0.0,-3.25,-16.375,-46.375,0
7.39,0.418,0.0,0.0,-3.25,-16.375,-46.375,0
7.506,0.428,0.0,0.0,-3.25,-16.375,-46.375,0
7.506,0.428,0.0,0.0,-3.25,-16.375,-46.375,0
7.59,0.428,0.0,0.0,-3.125,-16.375,-46.375,0
7.59,0.428,0.0,0.0,-3.125,-16.375,-46.375,0
7.69,0.438,0.0,0.0,-3.0,-16.375,-46.375,0
7.69,0.438,0.0,0.0,-3.0,-16.375,-46.375,0
7.79,0.438,0.0,0.0,-3.0,-16.5,-46.5,0
7.79,0.438,0.0,0.0,-3.0,-16.375,-46.5,0
7.89,0.448,0.0,0.0,-3.0,-16.375,-46.5,0
7.99,0.448,0.0,0.0,-3.0,-16.375,-46.25,0
7.99,0.448,0.0,0.0,-3.0,-16.375,-46.25,0
8.09,0.458,0.0,0.0,-3.0,-16.375,-46.25,0
8.09,0.458,0.0,0.0,-3.0,-16.375,-46.25,0
8.19,0.458,0.0,0.0,-3.0,-16.375,-46.25,0
8.19,0.458,0.0,0.0,-3.0,-16.375,-46.25,0
8.29,0.468,0.0,0.0,-3.0,-16.5,-46.375,0
8.29,0.468,0.0,0.0,-3.0,-16.5,-46.375,0
8.39,0.468,0.0,0.0,-2.875,-16.5,-46.375,0
8.39,0.468,0.0,0.0,-2.875,-16.5,-46.375,0
8.49,0.478,0.0,0.0,-2.875,-16.375,-46.375,0
8.49,0.478,0.0,0.0,-2.875,-16.375,-46.375,0
8.59,0.478,0.0,0.0,-2.875,-16.375,-46.375,0
8.59,0.478,0.0,0.0,-2.875,-16.375,-46.375,0
8.69,0.488,0.0,0.0,-2.75,-16.375,-46.25,0
8.69,0.488,0.0,0.0,-2.75,-16.375,-46.25,0
8.8,0.488,0.0,0.0,-2.75,-16.375,-46.25,0
8.8,0.488,0.0,0.0,-2.75,-16.375,-46.25,0
8.9,0.498,0.0,0.0,-2.75,-16.375,-46.25,0
8.9,0.498,0.0,0.0,-2.75,-16.375,-46.25,0
9.026,0.498,0.0,0.0,-2.75,-16.375,-46.125,0
9.026,0.498,0.0,0.0,-2.75,-16.375,-46.125,0
9.11,0.508,0.0,0.0,-2.75,-16.375,-46.125,0
9.11,0.508,0.0,0.0,-2.75,-16.375,-46.125,0
9.21,0.508,0.0,0.0,-2.75,-16.375,-46.125,0
