t,x,y,theta,mx,my,mz,spacebar
0.0,0.0,0.0,0.0,3.875,0.0,-45.125,0
0.102,0.0,0.0,0.0,3.875,0.0,-45.125,0
0.22,0.0,0.0,0.0,3.875,0.0,-45.125,0
0.322,0.0,0.0,0.0,3.875,0.0,-45.125,0
0.44,0.0,0.0,0.0,3.875,0.0,-45.125,0
0.665,0.0,0.0,0.0,3.875,0.0,-45.125,0
0.756,0.0,0.0,0.0,3.875,0.0,-45.125,0
0.81,0.0,0.0,0.0,3.875,0.0,-45.125,0
0.912,0.0,0.0,0.0,3.875,0.0,-45.125,0
1.03,0.0,0.0,0.0,3.875,0.0,-45.125,0
1.132,0.0,0.0,0.0,3.875,0.0,-45.125,0
1.26,0.0,0.0,0.0,3.875,0.0,-45.125,0
1.362,0.0,0.0,0.0,3.875,0.0,-45.125,0
1.48,0.0,0.0,0.0,3.875,0.0,-45.125,0
1.602,0.0,0.0,0.0,3.875,0.0,-45.125,0
1.71,0.0,0.0,0.0,3.875,0.0,-45.125,0
1.812,0.0,0.0,0.0,3.875,0.0,-45.125,0
1.935,0.0,0.0,0.0,3.875,0.0,-45.125,0
2.041,0.0,0.0,0.0,3.875,0.0,-45.125,0
2.142,0.0,0.0,0.0,3.875,0.0,-45.125,0
2.286,0.0,0.0,0.0,3.875,0.0,-45.125,0
2.372,0.0,0.0,0.0,3.875,0.0,-45.125,0
2.49,0.0,0.0,0.0,3.875,0.0,-45.125,0
2.592,0.0,0.0,0.0,3.875,0.0,-45.125,0
2.71,0.0,0.0,0.0,3.875,0.0,-45.125,0
2.812,0.0,0.0,0.0,3.875,0.0,-45.125,0
2.93,0.0,0.0,0.0,3.875,0.0,-45.125,0
3.032,0.0,0.0,0.0,3.875,0.125,-45.125,0
3.15,0.0,0.0,0.0,3.875,0.0,-45.125,0
3.252,0.0,0.0,0.0,3.875,0.0,-45.125,0
3.37,0.0,0.0,0.0,3.875,0.125,-45.125,0
3.472,0.0,0.0,0.0,3.875,0.0,-45.125,0
3.586,0.0,0.0,0.0,3.875,0.0,-45.125,0
3.692,0.0,0.0,0.0,3.875,0.0,-45.125,0
3.826,0.006,0.0,0.0,3.875,0.0,-45.25,0
3.912,0.006,0.0,0.0,3.875,0.0,-45.125,0
4.03,0.016,0.0,0.0,3.875,0.0,-45.125,0
4.132,0.016,0.0,0.0,3.875,0.0,-45.125,0
4.25,0.027,0.0,0.0,3.75,0.0,-45.125,0
4.352,0.027,0.0,0.0,3.75,0.125,-45.125,0
4.47,0.038,0.0,0.0,3.75,0.125,-45.125,0
4.572,0.038,0.0,0.0,3.75,0.125,-45.25,0
4.69,0.049,0.0,0.0,3.75,0.125,-45.25,0
4.792,0.049,0.0,0.0,3.75,0.125,-45.125,0
4.91,0.06,0.0,0.0,3.75,0.125,-45.125,0
5.012,0.06,0.0,0.0,3.75,0.125,-45.125,0
5.13,0.071,0.0,0.0,3.75,0.0,-45.125,0
5.232,0.082,0.0,0.0,3.75,0.0,-45.125,0
5.366,0.082,0.0,0.0,3.625,0.0,-45.125,0
5.452,0.092,0.0,0.0,3.75,0.0,-45.125,0
5.58,0.092,0.0,0.0,3.75,0.0,-45.125,0
5.683,0.102,0.0,0.0,3.625,0.125,-45.125,0
5.81,0.102,0.0,0.0,3.625,0.125,-45.125,0
5.912,0.113,0.0,0.0,3.75,0.0,-45.125,0
6.03,0.113,0.0,0.0,3.75,0.0,-45.125,0
6.142,0.124,0.0,0.0,3.75,0.0,-45.125,0
6.142,0.124,0.0,0.0,3.75,0.0,-45.125,0
6.27,0.136,0.0,0.0,3.75,0.0,-45.125,0
6.372,0.136,0.0,0.0,3.75,0.0,-45.125,0
6.49,0.136,0.0,0.0,3.75,0.0,-45.125,0
6.592,0.147,0.0,0.0,3.75,0.0,-45.125,0
6.71,0.147,0.0,0.0,3.625,0.0,-45.125,0
6.812,0.158,0.0,0.0,3.625,-0.125,-45.125,0
6.94,0.158,0.0,0.0,3.625,-0.125,-45.125,0
7.042,0.169,0.0,0.0,3.625,-0.125,-45.125,0
7.16,0.169,0.0,0.0,3.5,-0.25,-45.125,0
7.272,0.18,0.0,0.0,3.625,-0.25,-45.125,0
7.39,0.18,0.0,0.0,3.5,-0.25,-45.125,0
7.496,0.19,0.0,0.0,3.625,-0.25,-45.125,0
7.602,0.2,0.0,0.0,3.5,-0.25,-45.125,0
7.724,0.2,0.0,0.0,3.5,-0.25,-45.125,0
7.832,0.212,0.0,0.0,3.5,-0.25,-45.125,0
7.946,0.212,0.0,0.0,3.5,-0.25,-45.125,0
8.052,0.212,0.0,0.0,3.5,-0.25,-45.125,0
8.16,0.223,0.0,0.0,3.625,-0.25,-45.125,0
8.16,0.223,0.0,0.0,3.625,-0.375,-45.125,0
8.4,0.233,0.0,0.0,3.625,-0.375,-45.125,0
8.492,0.233,0.0,0.0,3.5,-0.375,-45.125,0
8.61,0.245,0.0,0.0,3.5,-0.375,-45.125,0
8.712,0.245,0.0,0.0,3.375,-0.375,-45.125,0
8.83,0.256,0.0,0.0,3.375,-0.375,-45.125,0
8.932,0.256,0.0,0.0,3.375,-0.375,-45.125,0
9.05,0.267,0.0,0.0,3.375,-0.5,-45.125,0
9.152,0.267,0.0,0.0,3.375,-0.5,-45.125,0
9.27,0.278,0.0,0.0,3.375,-0.5,-45.125,0
9.372,0.278,0.0,0.0,3.375,-0.5,-45.125,0
9.49,0.289,0.0,0.0,3.375,-0.5,-45.125,0
9.592,0.289,0.0,0.0,3.25,-0.5,-45.125,0
9.71,0.3,0.0,0.0,3.25,-0.375,-45.125,0
9.812,0.3,0.0,0.0,3.25,-0.375,-45.125,0
9.946,0.311,0.0,0.0,3.125,-0.5,-45.125,0
10.032,0.311,0.0,0.0,3.125,-0.5,-45.125,0
10.15,0.322,0.0,0.0,3.125,-0.5,-45.125,0
10.252,0.322,0.0,0.0,3.125,-0.5,-45.0,0
10.37,0.334,0.0,0.0,3.125,-0.5,-45.125,0
10.472,0.334,0.0,0.0,3.125,-0.5,-45.125,0
10.59,0.345,0.0,0.0,3.0,-0.5,-45.125,0
10.692,0.345,0.0,0.0,3.0,-0.5,-45.0,0
